postal_code_prefix_3,fulfillment_center,total_orders,downgraded_orders,two_day_orders,one_day_orders,other_orders,paid_shipping_orders
730,US-PA-MDT,2,0,2,0,0,0
731,US-PA-MDT,5,0,5,0,0,0
734,US-PA-MDT,1,0,1,0,0,0
735,US-PA-MDT,2,0,2,0,0,0
737,US-PA-MDT,1,0,1,0,0,0
740,US-PA-MDT,8,5,2,1,0,1
741,US-PA-MDT,6,6,0,0,0,0
743,US-PA-MDT,2,0,2,0,0,0
744,US-PA-MDT,1,0,1,0,0,0
748,US-PA-MDT,1,0,1,0,0,0
750,US-PA-MDT,38,0,34,4,0,3
751,US-PA-MDT,6,0,6,0,0,0
752,US-PA-MDT,11,0,9,2,0,2
754,US-PA-MDT,1,0,1,0,0,0
756,US-PA-MDT,2,0,2,0,0,0
757,US-PA-MDT,3,0,2,1,0,1
760,US-PA-MDT,15,0,15,0,0,0
761,US-PA-MDT,6,0,5,1,0,0
762,US-PA-MDT,9,1,8,0,0,0
763,US-PA-MDT,1,0,1,0,0,0
765,US-PA-MDT,8,0,8,0,0,0
768,US-PA-MDT,1,0,1,0,0,0
770,US-PA-MDT,30,0,28,2,0,2
773,US-PA-MDT,16,0,16,0,0,0
774,US-PA-MDT,18,0,17,1,0,1
775,US-PA-MDT,9,0,8,1,0,0
777,US-PA-MDT,3,0,3,0,0,0
778,US-PA-MDT,3,0,2,1,0,1
780,US-PA-MDT,3,0,3,0,0,0
781,US-PA-MDT,4,0,4,0,0,0
782,US-PA-MDT,23,1,20,2,0,1
784,US-PA-MDT,1,0,1,0,0,0
785,US-PA-MDT,7,0,7,0,0,0
786,US-PA-MDT,23,0,22,1,0,0
787,US-PA-MDT,37,0,35,2,0,1
793,US-PA-MDT,3,1,2,0,0,1
794,US-PA-MDT,2,0,2,0,0,0
797,US-PA-MDT,1,0,1,0,0,0
798,US-PA-MDT,1,0,1,0,0,0
